delivery_number,sales_document,customer_id,delivery_date,shipping_type,delivery_status
1001001,1000001,CUST001,2025-02-10,Standard,Open
1001002,1000002,CUST002,2025-02-11,Express,Delivered
1001003,1000003,CUST003,2025-02-12,Standard,Open
1001004,1000004,CUST004,2025-02-13,Express,Delivered
1001005,1000005,CUST005,2025-02-14,Standard,Open
1001006,1000006,CUST006,2025-02-15,Express,Delivered
1001007,1000007,CUST007,2025-02-16,Standard,Open
1001008,1000008,CUST008,2025-02-17,Express,Delivered
1001009,1000009,CUST009,2025-02-18,Standard,Open
1001010,1000010,CUST010,2025-02-19,Express,Delivered
1001011,1000011,CUST011,2025-02-20,Standard,Open
1001012,1000012,CUST012,2025-02-21,Express,Delivered
1001013,1000013,CUST013,2025-02-22,Standard,Open
1001014,1000014,CUST014,2025-02-23,Express,Delivered
1001015,1000015,CUST015,2025-02-24,Standard,Open
1001016,1000016,CUST016,2025-02-25,Express,Delivered
1001017,1000017,CUST017,2025-02-26,Standard,Open
1001018,1000018,CUST018,2025-02-27,Express,Delivered
1001019,1000019,CUST019,2025-02-28,Standard,Open
1001020,1000020,CUST020,2025-03-01,Express,Delivered
