sales_document,item_number,customer_id,material_number,quantity,net_price,order_value,order_date,order_status
1000001,10,CUST001,MAT001,100,50,5000,2025-02-01,Open
1000001,20,CUST001,MAT002,200,30,6000,2025-02-01,Open
1000002,10,CUST002,MAT003,150,40,6000,2025-02-02,Delivered
1000003,10,CUST003,MAT001,300,50,15000,2025-02-05,Open
1000004,10,CUST004,MAT004,500,25,12500,2025-02-06,Closed
1000005,10,CUST005,MAT001,200,50,10000,2025-02-07,Open
1000006,10,CUST006,MAT003,120,40,4800,2025-02-08,Delivered
1000007,10,CUST007,MAT002,250,30,7500,2025-02-09,Open
1000008,10,CUST008,MAT004,300,25,7500,2025-02-10,Closed
1000009,10,CUST009,MAT001,350,50,17500,2025-02-11,Open
1000010,10,CUST010,MAT003,400,40,16000,2025-02-12,Open
1000011,10,CUST011,MAT002,150,30,4500,2025-02-13,Delivered
1000012,10,CUST012,MAT001,500,50,25000,2025-02-14,Closed
1000013,10,CUST013,MAT004,200,25,5000,2025-02-15,Open
1000014,10,CUST014,MAT003,250,40,10000,2025-02-16,Delivered
1000015,10,CUST015,MAT002,400,30,12000,2025-02-17,Open
1000016,10,CUST016,MAT001,300,50,15000,2025-02-18,Closed
1000017,10,CUST017,MAT003,150,40,6000,2025-02-19,Delivered
1000018,10,CUST018,MAT004,500,25,12500,2025-02-20,Open
1000019,10,CUST019,MAT001,250,50,12500,2025-02-21,Closed
1000020,10,CUST020,MAT002,200,30,6000,2025-02-22,Open
1000021,10,CUST021,MAT003,180,40,7200,2025-02-23,Delivered
1000022,10,CUST022,MAT004,220,25,5500,2025-02-24,Open
