shipment_number,delivery_number,customer_id,carrier,shipment_date,shipment_status
2001001,1001001,CUST001,Carrier1,2025-02-10,In Transit
2001002,1001002,CUST002,Carrier2,2025-02-11,Delivered
2001003,1001003,CUST003,Carrier1,2025-02-12,In Transit
2001004,1001004,CUST004,Carrier3,2025-02-13,Delivered
2001005,1001005,CUST005,Carrier1,2025-02-14,In Transit
2001006,1001006,CUST006,Carrier2,2025-02-15,Delivered
2001007,1001007,CUST007,Carrier3,2025-02-16,In Transit
2001008,1001008,CUST008,Carrier1,2025-02-17,Delivered
2001009,1001009,CUST009,Carrier2,2025-02-18,In Transit
2001010,1001010,CUST010,Carrier3,2025-02-19,Delivered
2001011,1001011,CUST011,Carrier1,2025-02-20,In Transit
2001012,1001012,CUST012,Carrier2,2025-02-21,Delivered
2001013,1001013,CUST013,Carrier3,2025-02-22,In Transit
2001014,1001014,CUST014,Carrier1,2025-02-23,Delivered
2001015,1001015,CUST015,Carrier2,2025-02-24,In Transit
2001016,1001016,CUST016,Carrier3,2025-02-25,Delivered
2001017,1001017,CUST017,Carrier1,2025-02-26,In Transit
2001018,1001018,CUST018,Carrier2,2025-02-27,Delivered
2001019,1001019,CUST019,Carrier3,2025-02-28,In Transit
2001020,1001020,CUST020,Carrier1,2025-03-01,Delivered
